Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Change Percentage  13-23
RUSHWORTH,161000,158000,177000,200000,192500,198000,205000,226000,301000,352500,367000,128
RUTHERGLEN,232000,195000,230000,255000,262000,270000,282500,350000,402500,486500,479000,106
RYE,425500,460000,488000,550000,659000,705000,690000,793500,1100000,1195000,1098500,158
SAFETY BEACH,515000,516500,595000,665000,780000,825000,810000,897500,1109000,1241000,1220500,137
SAILORS GULLY,253000,262500,235000,225000,232000,290000,280000,300000,390000,505500,469000,85
SALE,290000,300000,298000,295500,300000,309500,325000,345000,399000,487000,480000,66
SAN REMO,410000,407000,420000,460000,497000,515000,554500,597500,850000,1020000,952500,132
SANCTUARY LAKES,480000,485000,570000,502000,630000,625000,625000,652000,710000,750000,733500,53
SANDHURST,545000,549000,617500,678500,730000,837500,812500,780000,950000,1009000,1075000,97
SANDRINGHAM,1210000,1305000,1490000,1760000,1862500,1850000,1665000,1850000,2420000,2400000,2100000,74
SANDY POINT,352500,380000,370000,359000,407500,410000,410000,517500,755000,820000,815000,131
SASSAFRAS,632500,556000,562000,653500,775500,750000,805000,770000,860000,1020000,959000,52
SCORESBY,509000,570000,661000,700000,878500,835000,766500,785000,951500,975500,955500,88
SEA LAKE,80000,75000,90000,75000,70000,110000,100000,106500,125000,173000,187500,134
SEABROOK,422500,402500,456000,509000,635000,672500,626500,652500,730000,755000,741500,76
SEAFORD,419500,450000,475000,580500,700000,696000,655000,700000,850000,880000,830000,98
SEAHOLME,640000,670000,802500,870000,1157500,1015000,1020000,937500,1209500,1135000,1525000,138
SEASPRAY,152000,164000,240000,175000,215000,210000,265000,260000,335000,390000,465000,206
SEBASTOPOL,242000,235500,244500,247500,256000,289000,315000,341000,420000,480000,455000,88
SEDDON,675000,730000,830000,934500,982500,1018500,960000,1100000,1244000,1055000,1100000,63
SELBY,420000,420000,469500,527500,600000,637500,601500,720000,904500,771500,837500,99
SEVILLE,400000,397500,450000,511500,611500,634500,630000,626000,775000,812500,870000,118
SEVILLE EAST,339500,350000,395000,440000,482500,551500,580000,600000,720000,700000,755000,123
SEYMOUR,220000,213000,225000,242500,277000,295000,300000,325000,390000,447500,467500,113
SHEPPARTON,247000,243000,250000,265000,261000,275000,282000,310000,370000,430000,445000,80
SHEPPARTON NORTH,346000,375000,348000,361000,347000,334000,393000,379000,425000,612000,610000,76
SHOREHAM,607000,620000,903000,868500,970000,1160000,1400000,1077000,1767500,2180000,2100000,246
SILVERLEAVES,508000,460500,484000,446500,515000,721000,618500,775000,982000,990500,1137500,124
SKIPTON,155000,117500,137000,169000,187500,159500,200000,219500,270000,360000,336000,117
SKYE,395000,413000,430000,479000,570000,611000,597500,610000,740000,770000,760000,92
SMITHS BEACH,372500,390000,455000,470000,458500,589000,624500,695000,837000,990000,957500,157
SMYTHES CREEK,-,380000,380000,380000,380000,426500,430000,440500,545000,590000,550000,0
SOLDIERS HILL,283000,341000,310000,374000,423500,447500,480000,557500,568000,705000,570000,102
SOMERS,657500,755000,696500,755500,820000,888500,950000,980000,1707000,1765000,1550000,136
SOMERVILLE,385000,395000,425000,465000,580000,615000,600000,640000,780000,812000,765000,99
SORRENTO,770000,795000,859000,1130000,1300000,1380000,1470000,1665000,2207500,2355000,2120000,175
SOUTH GEELONG,420500,470000,425000,495000,650000,676000,702500,835000,1000000,970000,882000,110
SOUTH KINGSVILLE,619500,671000,742000,903000,980000,1000000,859000,992000,1100000,972500,1250000,102
SOUTH MELBOURNE,1030000,1200000,1310000,1595000,1532500,1465000,1355000,1580000,1710000,1882500,1630000,58
SOUTH MORANG,415000,420000,450000,502000,610500,634500,625500,623000,718000,760000,725000,75
SOUTH YARRA,1352500,1450000,1700000,1890000,2040000,1851000,1850000,2059000,2353000,2035500,2390000,77
SPOTSWOOD,680000,640000,795000,917500,1027500,1080000,950000,985000,1260000,1255000,1130000,66
SPRING GULLY,345000,350000,350000,350000,390000,400000,386500,440000,552500,610000,700000,103
SPRINGVALE,451500,530000,629500,685000,750000,780000,746500,785000,855000,886000,870000,93
SPRINGVALE SOUTH,430000,475000,562000,630000,720000,720000,679000,725000,800000,820000,800000,86
ST ALBANS,350000,373500,428000,500000,610000,626500,594000,600000,675000,682000,640500,83
ST ALBANS PARK,335000,330000,329000,331000,379000,450000,422000,455000,600000,650000,586500,75
ST ANDREWS BEACH,480000,495000,560000,695000,855000,902500,930000,1207500,1745500,1582500,1572500,228
ST ARNAUD,140000,145000,141000,142500,145000,145000,175000,170000,225000,310000,279500,100
ST HELENA,612500,623000,711000,800000,893500,910000,905000,930000,1137500,1202500,1175000,92
ST KILDA,892000,1225000,1164000,1305000,1551000,1755000,1600000,1330000,1705500,1710000,1480500,66
ST KILDA EAST,1050500,1037500,1382500,1677500,1460000,1620000,1560500,1650000,1840000,1785000,1623000,54
ST KILDA WEST,1142500,2235000,2013000,1797000,2380000,1942500,2465000,2630000,3300000,2742500,2855000,150
ST LEONARDS                             ,350000,357000,375000,421500,2380000,571500,562500,572000,705000,805000,754000,115
STANHOPE,150000,131000,152500,147000,181000,161500,187500,201500,255000,223500,352500,135
STAWELL,162500,172500,177000,177000,188000,190000,189000,227000,290000,355000,319000,96
STRATFORD,230000,261500,260500,272500,265000,258000,316500,320000,397500,472000,480000,109
STRATHDALE,392500,380000,410500,445000,380000,420000,451000,507000,640000,671500,637500,62
STRATHFIELDSAYE,377000,397500,408000,425000,455000,444000,476500,535000,636000,702500,715000,90
STRATHMERTON,166000,172500,190000,182500,140000,187500,195000,205000,265000,325000,365000,120
STRATHMORE,827500,865000,997500,1140000,1230000,1357500,1320000,1360000,1576000,1605000,1416500,71
STRATHMORE HEIGHTS,621000,640000,700000,808000,970000,885000,800000,835000,962500,952500,1056000,70
STRATHTULLOH,350000,440000,425000,430000,359000,425000,507500,522500,585500,609000,642500,84
STUDFIELD,532500,617500,785000,853000,957500,906000,811000,836000,1025000,950000,1095000,106
SUNBURY,355000,360000,370000,395000,492000,546000,533500,570000,645000,670000,660000,86
SUNDERLAND BAY,324500,333000,287000,360000,357500,455000,413500,525000,717000,677500,672500,107
SUNNYCLIFFS,195000,247500,185000,220000,228000,218000,229500,230000,326500,295000,380000,95
SUNSET STRIP,301500,310000,301500,340000,345000,390000,460000,511000,602500,754000,690000,129
SUNSHINE,435000,483500,530500,675000,765000,742000,720000,750000,870000,856500,797500,83
SUNSHINE NORTH,400000,425500,495000,560000,653000,673500,647000,690000,720000,750000,721500,80
SUNSHINE WEST,384500,395000,450000,520000,639000,635000,635000,657000,745000,751500,700000,82
SURF BEACH,375000,360000,355000,414000,425000,480000,525000,559000,706500,895000,805000,115
SURREY HILLS,1323000,1450000,1750000,1800500,2170000,1900000,1890000,1880000,2310000,2301500,2390000,81
SWAN HILL,225000,230000,248000,262500,252000,267000,285000,319500,362000,405000,435000,93
SYDENHAM,425000,415000,440000,505000,590000,620000,595000,635000,690000,699000,741500,74
SYNDAL,950500,1160000,1505000,1410000,1585000,1540500,1499000,1570000,1800000,1867500,1955000,106
TALLANGATTA,154000,200000,233000,216000,275000,245000,257500,280000,350000,436000,470000,205
TANGAMBALANGA,265000,245000,219500,276000,172500,292000,282500,459000,502500,593000,557500,110
TARNEIT,371000,395000,400000,445000,515000,570000,550000,570000,602000,650000,653500,76
TATURA,230000,237500,233000,228000,262000,250000,276500,303500,357500,450000,475000,107
TAWONGA SOUTH,219500,235000,257500,298000,254000,310000,422500,380000,545000,641000,553000,152
TAYLORS HILL,487500,510000,530000,600000,686000,723000,702000,754000,840000,908000,906500,86
TAYLORS LAKES,490000,510000,561500,635000,720000,763500,750000,777500,883500,936000,925000,89
TECOMA,415000,478000,510000,601500,709000,700000,662500,742500,920000,837500,838000,102
TEMPLESTOWE,865000,951500,1180000,1260000,1415000,1308000,1292500,1381500,1603000,1621500,1685000,95
TEMPLESTOWE LOWER,750000,830000,1060000,1105500,1302000,1150000,1080000,1189000,1432500,1390000,1410000,88
TERANG,161500,195000,206500,150000,188500,194000,188500,232500,309000,365000,382500,137
THE BASIN,430000,463500,550000,595000,610000,682500,695000,739000,875000,864000,850000,98
THE PATCH,393500,486500,505000,570500,665000,730000,755000,760000,882500,872000,830000,111
THOMASTOWN,390000,420000,437000,493000,654000,636000,592000,620000,720000,710000,691000,77
THOMSON (GREATER,282000,290000,290000,309000,365000,411000,400500,435000,580000,575000,547500,94
THORNBURY,729000,841000,918000,1079500,1230000,1137500,1150000,1252500,1500000,1455000,1382000,90
THORNHILL PARK,-,-,-,441000,447000,578000,535000,540000,550000,600000,610000,NA
TIMBOON,184000,210000,240000,215000,220000,247000,260000,412500,425000,440000,476500,159
TONGALA,185000,179000,165000,204000,200000,275000,234500,236500,305000,377000,405500,119
TOONGABBIE,234000,261500,235000,315000,286500,280500,270000,320000,445000,525000,569000,143
TOORA,171500,155000,230000,195000,190000,241500,275000,300000,430000,430000,450000,163
TOORADIN,420000,480000,471000,411000,599000,702000,700000,755000,800000,910000,880000,110
TOORAK,2875000,3391000,4000000,4900000,5100000,4700000,4600000,5500000,6340000,6205000,5325000,85
TOOTGAROOK,387000,402500,405000,460000,591000,600500,586000,671000,874000,950000,885000,129
TORQUAY,580000,580000,620000,665000,720000,810000,815000,870000,1200000,1350000,1255000,116
TRAFALGAR,283000,311000,310000,312500,333500,375000,396500,435000,485000,590000,560000,98
TRARALGON,269000,275000,273000,268000,288500,298000,326500,340000,408000,484000,500000,86
TRARALGON EAST,435000,440000,432500,445000,455000,425000,470000,501500,640000,722000,785000,80
TRENTHAM,407500,340000,422500,455000,475000,603000,614000,632500,825000,1050000,930000,128
TRUGANINA,360000,390000,391000,430000,519500,570000,575000,580000,615000,652000,647000,80
TULLAMARINE,395000,412000,472500,530000,655000,665500,612000,640000,755000,760000,720000,82
TYABB,370500,366000,395000,430000,510500,548000,586500,590000,736000,745500,730000,97
UPPER FERNTREE GULLY,435000,500000,515000,582000,685000,700000,642500,735000,865000,885000,852000,96
UPWEY,425000,476000,515000,585000,680000,710000,702500,760500,899000,890000,880000,107
VENTNOR,370000,377500,423500,420000,465000,490000,540000,619500,770000,867500,800000,116
VENUS BAY,242500,237000,236000,258000,262500,305000,330000,375000,579500,672500,613500,153
VERMONT,610000,725000,855000,900000,1065000,980000,935500,1000000,1226500,1200000,1235000,102
VERMONT SOUTH,722500,815000,1000000,1082500,1200500,1150000,1165000,1200000,1420000,1418000,1533000,112
VIEWBANK,630000,725000,829500,920000,1000000,933000,920000,985000,1238000,1220000,1195000,90
VIOLET TOWN,215000,199500,200000,238500,217000,242500,287500,328500,381500,385000,499500,132
WAHGUNYAH,190000,213500,267000,290000,270000,240000,355000,320000,379000,517500,375000,97
WALLAN,341500,356000,362000,375000,425000,490000,480000,520000,580000,625000,620000,82
WALLAN EAST,310000,306500,309500,352500,410000,500000,457000,490000,575000,610000,600000,94
WANDANA HEIGHTS,540000,582000,590000,592500,645000,700000,766500,827000,925000,1135000,1015000,88
WANDIN NORTH,407500,439500,480000,496500,665000,665000,630000,715000,765000,805000,773000,90
WANDONG,397500,332000,297500,400000,492500,494000,452500,640000,700000,719000,762500,92
WANGARATTA,240000,255000,272000,270500,270000,320000,319000,356500,425000,530000,525000,119
WANTIRNA,576000,667500,764000,801000,953000,906500,850000,907000,1065000,1105000,1150000,100
WANTIRNA SOUTH,579000,676500,829000,875000,1005000,1000000,988500,1015000,1223500,1225000,1322000,128
WARBURTON,310000,315000,325000,366000,418000,495000,512500,543000,675000,733500,695000,124
WARRACKNABEAL,107500,110000,110000,123500,113000,112500,118000,141000,180000,228500,240000,123
WARRAGUL,315000,320000,342000,340000,365000,449000,460000,498000,580000,653500,646000,105
WARRANDYTE,640000,760000,829000,890000,1042500,1110000,994000,996000,1285000,1300000,1262000,97
WARRANWOOD,605500,665000,790000,865000,943500,1010000,935000,962000,1145000,1350000,1197500,98
WARRNAMBOOL,325000,323000,330000,320000,330000,350000,370000,415000,520000,602000,605000,86
WATERWAYS,667000,845000,902000,1050000,1127500,1110000,1285000,1408000,1445000,1600000,1690000,153
WATSONIA,505000,555000,607500,698000,835000,795000,736000,790000,980000,908500,875500,73
WATSONIA NORTH,510000,572500,635000,702500,790000,770000,726500,795000,962500,897500,930000,82
WATTLE GLEN,475000,500500,569000,580000,620000,810000,778500,810000,924000,950000,890000,87
WAURN PONDS,446500,470000,480000,501000,530000,621500,641500,671000,727500,801500,826500,85
WEDDERBURN,154000,137500,110000,150000,155000,130000,138500,150000,179000,310000,300000,95
WEIR VIEWS,327500,388000,389000,418000,440000,470000,465000,495500,525500,575000,560000,71
WENDOUREE,243000,247000,250000,252500,267500,326000,335000,370000,465000,495000,470000,93
WENDOUREE WEST,190000,165000,207500,185000,200000,245000,259000,300000,380000,390000,365000,92
WERRIBEE,309000,315000,335000,403000,470000,510000,500000,515500,570000,612000,610000,97
WERRIBEE SOUTH,538000,585000,680000,540000,650000,735000,744500,650000,822500,880000,930000,73
WESBURN,312500,288500,395000,455000,455000,463500,530000,532000,665000,661000,642500,106
WEST FOOTSCRAY,553000,637500,697000,798000,887500,875000,785000,835000,1051500,960500,915000,65
WEST MELBOURNE,905000,916000,1005000,1104500,1350000,1370000,1017500,1215000,1280000,1387500,1215000,34
WEST WODONGA,272500,296000,306000,308500,321000,322000,342500,370000,428000,515000,545000,100
WESTALL,511500,550000,610000,695500,780000,800000,748000,739000,855000,897500,858000,68
WESTGARTH,920000,1100000,1300000,1500000,1383000,1707500,1485000,1566000,2087500,1912500,1910000,108
WESTMEADOWS,386500,419000,470000,500000,566000,620000,620000,605000,716000,700000,727500,88
WHEELERS HILL,740000,805000,999000,1050000,1160000,1118500,1010000,1173500,1371000,1450000,1509000,104
WHITE HILLS,280000,306000,297500,305000,300000,313500,330000,355000,470000,510000,495000,77
WHITTINGTON,259000,262000,280000,265000,316500,395000,377500,408000,485000,532500,500000,93
WHITTLESEA,375000,375000,400000,448500,469500,577500,581000,610000,675000,740000,760000,103
WILLIAMS LANDING,470000,450000,510000,530000,600000,685000,657000,680000,760000,795000,799500,70
WILLIAMSTOWN,920000,970000,1120000,1282500,1440000,1415000,1350000,1402500,1592500,1650500,1580000,72
WILLIAMSTOWN NORTH,768000,803500,862500,1135500,1003000,880000,965000,905000,1250000,1021500,1275000,66
WILLOW GROVE,235000,172500,135000,195000,230000,280000,388000,427500,427500,452500,600000,155
WIMBLEDON HEIGHTS,271500,310000,291500,299000,334000,410000,386500,435000,592000,670000,620000,128
WINCHELSEA,287000,287500,262000,267000,357000,391000,430000,480000,552500,640000,642500,124
WINDSOR,835000,956500,1094000,1505000,1420000,1422500,1350000,1350000,1645000,1650000,1460000,75
WINTER VALLEY,344500,360000,365000,362500,375000,405000,435000,470000,573500,617500,580000,68
WODONGA,282500,295000,295000,315000,341500,350000,331500,348000,439500,520000,545000,93
WOLLERT,400000,395000,432000,460000,520000,538000,570000,573000,625000,703500,705000,76
WONGA PARK,674500,673500,735000,801000,962500,1150000,1102000,1077500,1248000,1415000,1265000,88
WONTHAGGI,225000,251000,262000,265000,284500,339000,375000,405000,550000,602000,555000,147
WOODEND,470000,460000,482500,460000,560000,665000,747500,765000,895000,870000,965000,105
WOOLAMAI WATERS,349000,381500,340000,375000,418000,469500,495500,560000,762500,874500,779000,123
WOORI YALLOCK,330000,317000,358000,391500,480000,520000,510000,552000,635000,670000,652000,98
WY YUNG,285000,285000,290000,333500,328000,315000,349000,370000,453000,492500,547500,92
WYCHEPROOF,95000,103000,100000,82500,100000,124500,141500,131000,170000,185000,203500,114
WYNDHAM VALE,288000,306000,325000,365000,435500,474000,460500,480000,525000,580000,580000,101
YACKANDANDAH,327500,318000,300000,392500,445500,472500,497500,490000,669000,653000,760000,132
YALLAMBIE,532500,579500,665000,713500,781000,810000,792500,832500,990000,1023000,942000,77
YALLOURN NORTH,135000,149500,153000,165500,180000,172000,191000,206000,263000,325000,319500,136
YARRA GLEN,420000,460000,530000,540000,620000,670000,670000,732500,850500,800000,784500,87
YARRA JUNCTION,406500,357500,417500,422500,537500,562500,582500,595000,687000,710000,705000,73
YARRAGON,258000,297000,284000,300000,280000,390000,410000,414000,582500,595000,645000,150
YARRAM,190000,202500,245000,230000,225000,218000,240000,260000,360000,470000,395000,108
YARRAVILLE,696000,710000,810000,900500,1000000,1045000,971000,1030000,1185000,1210000,1100000,58
YARRAWONGA,302500,297000,300500,320000,324500,345000,375000,456500,564500,670000,640000,112
YEA,260000,255000,260000,305000,385000,390000,435500,422500,570000,617500,550000,112
YINNAR,220000,240000,182500,230000,270000,245000,255000,292500,465000,550500,567500,158
